,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,remote_ratio,company_size,companyLocation,employeeResidence
0,2020,Mid-level,Full-time,Data Scientist,70000,EUR,79833,No remote,Large,Germany,Germany
1,2020,Senior-level,Full-time,Machine Learning Scientist,260000,USD,260000,No remote,Small,Japan,Japan
2,2020,Senior-level,Full-time,Big Data Engineer,85000,GBP,109024,Partially remote,Medium,United Kingdom of Great Britain and Northern Ireland (the),United Kingdom of Great Britain and Northern Ireland (the)
3,2020,Mid-level,Full-time,Product Data Analyst,20000,USD,20000,No remote,Small,Honduras,Honduras
4,2020,Senior-level,Full-time,Machine Learning Engineer,150000,USD,150000,Partially remote,Large,United States of America (the),United States of America (the)
5,2020,Entry-level,Full-time,Data Analyst,72000,USD,72000,Fully remote,Large,United States of America (the),United States of America (the)
6,2020,Senior-level,Full-time,Lead Data Scientist,190000,USD,190000,Fully remote,Small,United States of America (the),United States of America (the)
7,2020,Mid-level,Full-time,Data Scientist,11000000,HUF,35735,Partially remote,Large,Hungary,Hungary
8,2020,Mid-level,Full-time,Business Data Analyst,135000,USD,135000,Fully remote,Large,United States of America (the),United States of America (the)
9,2020,Senior-level,Full-time,Lead Data Engineer,125000,USD,125000,Partially remote,Small,New Zealand,New Zealand
10,2020,Entry-level,Full-time,Data Scientist,45000,EUR,51321,No remote,Small,France,France
11,2020,Mid-level,Full-time,Data Scientist,3000000,INR,40481,No remote,Large,India,India
12,2020,Entry-level,Full-time,Data Scientist,35000,EUR,39916,No remote,Medium,France,France
13,2020,Mid-level,Full-time,Lead Data Analyst,87000,USD,87000,Fully remote,Large,United States of America (the),United States of America (the)
14,2020,Mid-level,Full-time,Data Analyst,85000,USD,85000,Fully remote,Large,United States of America (the),United States of America (the)
15,2020,Mid-level,Full-time,Data Analyst,8000,USD,8000,Partially remote,Large,Pakistan,Pakistan
16,2020,Entry-level,Full-time,Data Engineer,4450000,JPY,41689,Fully remote,Small,Japan,Japan
17,2020,Senior-level,Full-time,Big Data Engineer,100000,EUR,114047,Fully remote,Small,United Kingdom of Great Britain and Northern Ireland (the),Poland
18,2020,Entry-level,Full-time,Data Science Consultant,423000,INR,5707,Partially remote,Medium,India,India
19,2020,Mid-level,Full-time,Lead Data Engineer,56000,USD,56000,Fully remote,Medium,United States of America (the),Portugal
20,2020,Mid-level,Full-time,Machine Learning Engineer,299000,CNY,43331,No remote,Medium,China,China
21,2020,Mid-level,Full-time,Product Data Analyst,450000,INR,6072,Fully remote,Large,India,India
22,2020,Senior-level,Full-time,Data Engineer,42000,EUR,47899,Partially remote,Large,Greece,Greece
23,2020,Mid-level,Full-time,BI Data Analyst,98000,USD,98000,No remote,Medium,United States of America (the),United States of America (the)
24,2020,Mid-level,Full-time,Lead Data Scientist,115000,USD,115000,No remote,Large,United Arab Emirates (the),United Arab Emirates (the)
25,2020,Executive-level,Full-time,Director of Data Science,325000,USD,325000,Fully remote,Large,United States of America (the),United States of America (the)
26,2020,Entry-level,Full-time,Research Scientist,42000,USD,42000,Partially remote,Large,Netherlands (the),Netherlands (the)
27,2020,Senior-level,Full-time,Data Engineer,720000,MXN,33511,No remote,Small,Mexico,Mexico
28,2020,Entry-level,Contract,Business Data Analyst,100000,USD,100000,Fully remote,Large,United States of America (the),United States of America (the)
29,2020,Senior-level,Full-time,Machine Learning Manager,157000,CAD,117104,Partially remote,Large,Canada,Canada
30,2020,Mid-level,Full-time,Data Engineering Manager,51999,EUR,59303,Fully remote,Small,Germany,Germany
31,2020,Entry-level,Full-time,Big Data Engineer,70000,USD,70000,Fully remote,Large,United States of America (the),United States of America (the)
32,2020,Senior-level,Full-time,Data Scientist,60000,EUR,68428,Fully remote,Large,United States of America (the),Greece
33,2020,Mid-level,Full-time,Research Scientist,450000,USD,450000,No remote,Medium,United States of America (the),United States of America (the)
34,2020,Mid-level,Full-time,Data Analyst,41000,EUR,46759,Partially remote,Large,France,France
35,2020,Mid-level,Full-time,Data Engineer,65000,EUR,74130,Partially remote,Large,Austria,Austria
36,2020,Mid-level,Full-time,Data Science Consultant,103000,USD,103000,Fully remote,Large,United States of America (the),United States of America (the)
37,2020,Entry-level,Full-time,Machine Learning Engineer,250000,USD,250000,Partially remote,Large,United States of America (the),United States of America (the)
38,2020,Entry-level,Full-time,Data Analyst,10000,USD,10000,Fully remote,Small,Nigeria,Nigeria
39,2020,Entry-level,Full-time,Machine Learning Engineer,138000,USD,138000,Fully remote,Small,United States of America (the),United States of America (the)
40,2020,Mid-level,Full-time,Data Scientist,45760,USD,45760,Fully remote,Small,United States of America (the),Philippines (the)
41,2020,Executive-level,Full-time,Data Engineering Manager,70000,EUR,79833,Partially remote,Large,Spain,Spain
42,2020,Mid-level,Full-time,Machine Learning Infrastructure Engineer,44000,EUR,50180,No remote,Medium,Portugal,Portugal
43,2020,Mid-level,Full-time,Data Engineer,106000,USD,106000,Fully remote,Large,United States of America (the),United States of America (the)
44,2020,Mid-level,Full-time,Data Engineer,88000,GBP,112872,Partially remote,Large,United Kingdom of Great Britain and Northern Ireland (the),United Kingdom of Great Britain and Northern Ireland (the)
45,2020,Entry-level,Part-time,ML Engineer,14000,EUR,15966,Fully remote,Small,Germany,Germany
46,2020,Mid-level,Full-time,Data Scientist,60000,GBP,76958,Fully remote,Small,United Kingdom of Great Britain and Northern Ireland (the),United Kingdom of Great Britain and Northern Ireland (the)
47,2020,Senior-level,Full-time,Data Engineer,188000,USD,188000,Fully remote,Large,United States of America (the),United States of America (the)
48,2020,Mid-level,Full-time,Data Scientist,105000,USD,105000,Fully remote,Large,United States of America (the),United States of America (the)
49,2020,Mid-level,Full-time,Data Engineer,61500,EUR,70139,Partially remote,Large,France,France
50,2020,Entry-level,Full-time,Data Analyst,450000,INR,6072,No remote,Small,India,India
51,2020,Entry-level,Full-time,Data Analyst,91000,USD,91000,Fully remote,Large,United States of America (the),United States of America (the)
52,2020,Entry-level,Full-time,AI Scientist,300000,DKK,45896,Partially remote,Small,Denmark,Denmark
53,2020,Entry-level,Full-time,Data Engineer,48000,EUR,54742,Fully remote,Large,Germany,Pakistan
54,2020,Senior-level,Freelance,Computer Vision Engineer,60000,USD,60000,Fully remote,Small,United States of America (the),Russian Federation (the)
55,2020,Senior-level,Full-time,Principal Data Scientist,130000,EUR,148261,Fully remote,Medium,Germany,Germany
56,2020,Mid-level,Full-time,Data Scientist,34000,EUR,38776,Fully remote,Medium,Spain,Spain
57,2020,Mid-level,Full-time,Data Scientist,118000,USD,118000,Fully remote,Medium,United States of America (the),United States of America (the)
58,2020,Senior-level,Full-time,Data Scientist,120000,USD,120000,Partially remote,Large,United States of America (the),United States of America (the)
59,2020,Mid-level,Full-time,Data Scientist,138350,USD,138350,Fully remote,Medium,United States of America (the),United States of America (the)
60,2020,Mid-level,Full-time,Data Engineer,110000,USD,110000,Fully remote,Large,United States of America (the),United States of America (the)
61,2020,Mid-level,Full-time,Data Engineer,130800,USD,130800,Fully remote,Medium,United States of America (the),Spain
62,2020,Entry-level,Part-time,Data Scientist,19000,EUR,21669,Partially remote,Small,Italy,Italy
63,2020,Senior-level,Full-time,Data Scientist,412000,USD,412000,Fully remote,Large,United States of America (the),United States of America (the)
64,2020,Senior-level,Full-time,Machine Learning Engineer,40000,EUR,45618,Fully remote,Small,Croatia,Croatia
65,2020,Entry-level,Full-time,Data Scientist,55000,EUR,62726,Partially remote,Small,Germany,Germany
66,2020,Entry-level,Full-time,Data Scientist,43200,EUR,49268,No remote,Small,Germany,Germany
67,2020,Senior-level,Full-time,Data Science Manager,190200,USD,190200,Fully remote,Medium,United States of America (the),United States of America (the)
68,2020,Entry-level,Full-time,Data Scientist,105000,USD,105000,Fully remote,Small,United States of America (the),United States of America (the)
69,2020,Senior-level,Full-time,Data Scientist,80000,EUR,91237,No remote,Small,Austria,Austria
70,2020,Mid-level,Full-time,Data Scientist,55000,EUR,62726,Partially remote,Small,Luxembourg,France
71,2020,Mid-level,Full-time,Data Scientist,37000,EUR,42197,Partially remote,Small,France,France
72,2021,Entry-level,Full-time,Research Scientist,60000,GBP,82528,Partially remote,Large,United Kingdom of Great Britain and Northern Ireland (the),United Kingdom of Great Britain and Northern Ireland (the)
73,2021,Executive-level,Full-time,BI Data Analyst,150000,USD,150000,Fully remote,Large,United States of America (the),India
74,2021,Executive-level,Full-time,Head of Data,235000,USD,235000,Fully remote,Large,United States of America (the),United States of America (the)
75,2021,Senior-level,Full-time,Data Scientist,45000,EUR,53192,Partially remote,Large,France,France
76,2021,Mid-level,Full-time,BI Data Analyst,100000,USD,100000,Fully remote,Medium,United States of America (the),United States of America (the)
77,2021,Mid-level,Part-time,3D Computer Vision Researcher,400000,INR,5409,Partially remote,Medium,India,India
78,2021,Mid-level,Contract,ML Engineer,270000,USD,270000,Fully remote,Large,United States of America (the),United States of America (the)
79,2021,Entry-level,Full-time,Data Analyst,80000,USD,80000,Fully remote,Medium,United States of America (the),United States of America (the)
80,2021,Senior-level,Full-time,Data Analytics Engineer,67000,EUR,79197,Fully remote,Large,Germany,Germany
81,2021,Mid-level,Full-time,Data Engineer,140000,USD,140000,Fully remote,Large,United States of America (the),United States of America (the)
82,2021,Mid-level,Full-time,Applied Data Scientist,68000,CAD,54238,Partially remote,Large,Canada,United Kingdom of Great Britain and Northern Ireland (the)
83,2021,Mid-level,Full-time,Machine Learning Engineer,40000,EUR,47282,Fully remote,Small,Spain,Spain
84,2021,Executive-level,Full-time,Director of Data Science,130000,EUR,153667,Fully remote,Large,Poland,Italy
85,2021,Mid-level,Full-time,Data Engineer,110000,PLN,28476,Fully remote,Large,Poland,Poland
86,2021,Entry-level,Full-time,Data Analyst,50000,EUR,59102,Partially remote,Medium,France,France
87,2021,Mid-level,Full-time,Data Analytics Engineer,110000,USD,110000,Fully remote,Large,United States of America (the),United States of America (the)
88,2021,Senior-level,Full-time,Lead Data Analyst,170000,USD,170000,Fully remote,Large,United States of America (the),United States of America (the)
89,2021,Senior-level,Full-time,Data Analyst,80000,USD,80000,Fully remote,Small,United States of America (the),Bulgaria
90,2021,Senior-level,Full-time,Marketing Data Analyst,75000,EUR,88654,Fully remote,Large,Denmark,Greece
91,2021,Entry-level,Full-time,Data Science Consultant,65000,EUR,76833,Fully remote,Small,Germany,Germany
92,2021,Mid-level,Full-time,Lead Data Analyst,1450000,INR,19609,Fully remote,Large,India,India
93,2021,Senior-level,Full-time,Lead Data Engineer,276000,USD,276000,No remote,Large,United States of America (the),United States of America (the)
94,2021,Entry-level,Full-time,Data Scientist,2200000,INR,29751,Partially remote,Large,India,India
95,2021,Mid-level,Full-time,Cloud Data Engineer,120000,SGD,89294,Partially remote,Large,Singapore,Singapore
96,2021,Entry-level,Part-time,AI Scientist,12000,USD,12000,Fully remote,Small,United States of America (the),Brazil
97,2021,Mid-level,Full-time,Financial Data Analyst,450000,USD,450000,Fully remote,Large,United States of America (the),United States of America (the)
98,2021,Entry-level,Full-time,Computer Vision Software Engineer,70000,USD,70000,Fully remote,Medium,United States of America (the),United States of America (the)
99,2021,Mid-level,Full-time,Computer Vision Software Engineer,81000,EUR,95746,Fully remote,Small,United States of America (the),Germany
100,2021,Mid-level,Full-time,Data Analyst,75000,USD,75000,No remote,Large,United States of America (the),United States of America (the)
101,2021,Senior-level,Full-time,Data Engineer,150000,USD,150000,Fully remote,Large,United States of America (the),United States of America (the)
102,2021,Mid-level,Full-time,BI Data Analyst,11000000,HUF,36259,Partially remote,Large,United States of America (the),Hungary
103,2021,Mid-level,Full-time,Data Analyst,62000,USD,62000,No remote,Large,United States of America (the),United States of America (the)
104,2021,Mid-level,Full-time,Data Scientist,73000,USD,73000,No remote,Large,United States of America (the),United States of America (the)
105,2021,Mid-level,Full-time,Data Analyst,37456,GBP,51519,Partially remote,Large,United Kingdom of Great Britain and Northern Ireland (the),United Kingdom of Great Britain and Northern Ireland (the)
106,2021,Mid-level,Full-time,Research Scientist,235000,CAD,187442,Fully remote,Large,Canada,Canada
107,2021,Senior-level,Full-time,Data Engineer,115000,USD,115000,Fully remote,Small,United States of America (the),United States of America (the)
108,2021,Senior-level,Full-time,Data Engineer,150000,USD,150000,Fully remote,Medium,United States of America (the),United States of America (the)
109,2021,Entry-level,Full-time,Data Engineer,2250000,INR,30428,Fully remote,Large,India,India
110,2021,Senior-level,Full-time,Machine Learning Engineer,80000,EUR,94564,Partially remote,Large,Germany,Germany
111,2021,Senior-level,Full-time,Director of Data Engineering,82500,GBP,113476,Fully remote,Medium,United Kingdom of Great Britain and Northern Ireland (the),United Kingdom of Great Britain and Northern Ireland (the)
112,2021,Senior-level,Full-time,Lead Data Engineer,75000,GBP,103160,Fully remote,Small,United Kingdom of Great Britain and Northern Ireland (the),United Kingdom of Great Britain and Northern Ireland (the)
113,2021,Entry-level,Part-time,AI Scientist,12000,USD,12000,Fully remote,Medium,United States of America (the),Pakistan
114,2021,Mid-level,Full-time,Data Engineer,38400,EUR,45391,Fully remote,Large,Netherlands (the),Netherlands (the)
115,2021,Entry-level,Full-time,Machine Learning Scientist,225000,USD,225000,Fully remote,Large,United States of America (the),United States of America (the)
116,2021,Mid-level,Full-time,Data Scientist,50000,USD,50000,Fully remote,Large,Nigeria,Nigeria
117,2021,Mid-level,Full-time,Data Science Engineer,34000,EUR,40189,Fully remote,Medium,Greece,Greece
118,2021,Entry-level,Full-time,Data Analyst,90000,USD,90000,Fully remote,Small,United States of America (the),United States of America (the)
119,2021,Mid-level,Full-time,Data Engineer,200000,USD,200000,Fully remote,Large,United States of America (the),United States of America (the)
120,2021,Mid-level,Full-time,Big Data Engineer,60000,USD,60000,Partially remote,Medium,Romania,Spain
121,2021,Senior-level,Full-time,Principal Data Engineer,200000,USD,200000,Fully remote,Medium,United States of America (the),United States of America (the)
122,2021,Entry-level,Full-time,Data Analyst,50000,USD,50000,Fully remote,Medium,United States of America (the),United States of America (the)
123,2021,Entry-level,Full-time,Applied Data Scientist,80000,GBP,110037,No remote,Large,United Kingdom of Great Britain and Northern Ireland (the),United Kingdom of Great Britain and Northern Ireland (the)
124,2021,Entry-level,Part-time,Data Analyst,8760,EUR,10354,Partially remote,Medium,Spain,Spain
125,2021,Mid-level,Full-time,Principal Data Scientist,151000,USD,151000,Fully remote,Large,United States of America (the),United States of America (the)
126,2021,Senior-level,Full-time,Machine Learning Scientist,120000,USD,120000,Partially remote,Small,United States of America (the),United States of America (the)
